,final-fantasy-vii-remake,ghost-of-tsushima,the-last-of-us-part-ii,god-of-war,marvels-spider-man
USgamer,5.0,4.0,2.0,1.0,3.0
GameCritics,3.0,5.0,4.0,2.0,1.0
Riot Pixels,2.0,4.0,3.0,1.0,5.0
4Players.de,5.0,3.0,1.0,2.0,4.0
Destructoid,3.0,2.0,5.0,1.0,4.0
AusGamers,4.0,5.0,3.0,1.0,2.0
Jeuxvideo.com,3.0,5.0,2.0,1.0,4.0
Gamer.nl,4.0,5.0,1.0,2.0,3.0
GameCrate,1.0,5.0,2.0,3.0,4.0
Multiplayer.it,2.0,5.0,1.0,4.0,3.0
GamePro Germany,5.0,3.0,1.0,2.0,4.0
Power Unlimited,3.0,5.0,1.0,2.0,4.0
XGN,2.0,5.0,1.0,3.0,4.0
Merlin'in KazanÄ± (Turkey),3.0,5.0,1.0,2.0,4.0
The Games Machine,5.0,2.0,3.0,1.0,4.0
Game World Navigator Magazine,2.0,3.0,5.0,1.0,4.0
Hobby Consolas,5.0,3.0,1.0,2.0,4.0
Worth Playing,5.0,2.0,1.0,4.0,3.0
GameSpot,1.0,5.0,4.0,2.0,3.0
EGM,5.0,4.0,1.0,2.0,3.0
ZTGD,4.0,1.0,5.0,2.0,3.0
Digitally Downloaded,1.0,5.0,2.0,3.0,4.0
Wccftech,3.0,4.0,2.0,1.0,5.0
Impulsegamer,5.0,4.0,1.0,3.0,2.0
LevelUp,2.0,5.0,3.0,1.0,4.0
Video Chums,5.0,1.0,3.0,2.0,4.0
Everyeye.it,3.0,5.0,1.0,2.0,4.0
New Game Network,5.0,1.0,3.0,4.0,2.0
DualShockers,4.0,5.0,3.0,1.0,2.0
SpazioGames,3.0,5.0,1.0,2.0,4.0
Digital Chumps,5.0,4.0,1.0,2.0,3.0
GameOver.gr,3.0,4.0,1.0,2.0,5.0
Easy Allies,4.0,5.0,2.0,1.0,3.0
Gameblog.fr,4.0,3.0,1.0,2.0,5.0
Meristation,4.0,5.0,1.0,2.0,3.0
Gamersky,3.0,4.0,1.0,2.0,5.0
GRYOnline.pl,4.0,3.0,1.0,2.0,5.0
LaPS4,3.0,5.0,1.0,2.0,4.0
Washington Post,5.0,3.0,1.0,2.0,4.0
Edge Magazine,4.0,5.0,1.0,2.0,3.0
Areajugones,1.0,5.0,2.0,3.0,4.0
Atomix,3.0,4.0,1.0,2.0,5.0
Vandal,3.0,5.0,1.0,2.0,4.0
Game Informer,5.0,3.0,1.0,2.0,4.0
IGN,5.0,3.0,1.0,2.0,4.0
Press Start Australia,3.0,5.0,2.0,4.0,1.0
IGN Spain,1.0,5.0,2.0,3.0,4.0
IGN Italia,1.0,5.0,2.0,3.0,4.0
M3,1.0,4.0,2.0,3.0,5.0
